Symbol,Last Price,Change,ChangePerc,Price When Added,Date Added,Value,EPS,P/E Ratio,52-Week Range,Day's Range,
SONO,13.83,0.79,6.06,.00,08/20/2018,.00,-.2891,.0000,6.580 - 16.88,12.97 - 14.22,
NEWR,67.94,-2.52,-3.58,.00,09/12/2018,.00,-1.5148,.0000,33.49 - 98.20,67.83 - 70.84,
PSTG,17.60,0.26,1.50,.00,09/25/2018,.00,-.7427,.0000,7.930 - 20.50,17.32 - 17.80,
ZS,106.09,3.28,3.19,.00,04/06/2018,.00,-.5518,.0000,35.000 - 112.73,103.01 - 108.37,
TWLO,211.49,1.80,0.86,.00,07/21/2016,.00,-2.6948,.0000,68.060 - 216.62,209.37 - 216.62,
BAC,25.19,-0.61,-2.36,.00,11/03/2017,.00,2.4509,10.5266,17.95 - 35.72,25.13 - 25.90,
GDOT,38.28,-0.74,-1.90,.00,11/16/2018,.00,1.5563,25.0731,14.20 - 51.86,38.09 - 39.51,
GS,207.22,-2.37,-1.13,.00,12/14/2017,.00,18.4075,11.3861,130.85 - 250.46,205.44 - 210.79,
JPM,100.38,-1.68,-1.65,.00,12/14/2017,.00,8.8538,11.5273,76.910 - 141.10,100.27 - 102.54,
PYPL,164.2701,3.05,1.89,.00,09/04/2018,.00,1.5799,102.0451,82.070 - 164.96,161.66 - 164.96,
SIVB,220.86,-0.95,-0.43,.00,11/10/2017,.00,18.8397,11.7736,127.39 - 270.95,219.54 - 225.08,
SYF,24.995,-0.17,-0.66,.00,01/29/2018,.00,4.4384,5.6687,12.15 - 38.18,24.66 - 25.49,
TREE,275.285,-2.52,-0.91,.00,07/21/2016,.00,3.9834,69.7392,135.72 - 434.94,273.62 - 279.00,
BA,193.86,-3.91,-1.98,.00,07/21/2016,.00,-6.0496,.0000,89.000 - 391.00,191.25 - 196.43,
GD,157.97,1.98,1.27,.00,07/31/2018,.00,11.8522,13.1613,100.55 - 193.76,156.25 - 158.85,
ALK,37.64,-0.57,-1.49,.00,08/06/2018,.00,4.2622,8.9649,20.02 - 72.22,36.75 - 38.18,
HA,16.45,-0.50,-2.95,.00,07/21/2016,.00,.8280,20.4708,7.550 - 31.34,15.84 - 16.78,
CMCSA,39.44,-0.31,-0.78,.00,07/21/2016,.00,2.5189,15.7806,31.70 - 47.74,39.32 - 39.89,
DIS,118.01,-0.43,-0.36,.00,07/17/2018,.00,2.6599,44.5278,79.070 - 153.41,117.21 - 119.23,
MAR,91.795,-2.19,-2.34,.00,07/17/2018,.00,2.7962,33.6135,46.560 - 153.39,90.80 - 94.00,
ZG,61.08,1.68,2.83,.00,04/23/2018,.00,-1.9282,.0000,18.65 - 66.96,59.92 - 62.28,
K,67.26,0.58,0.87,.00,07/21/2016,.00,2.9949,22.2647,52.66 - 71.05,66.79 - 67.65,
NWL,15.82,0.09,0.57,.00,01/04/2018,.00,-2.5884,.0000,10.44 - 20.99,15.41 - 15.97,
Cash,,,,,,.00,,,,,
TOTAL,,,,301477.41,,459326.22,,,,,


Generated at 06/17/2020 03:04:40 PM ET
